image,total_trees,trees_0,trees_1,trees_10,trees_11,trees_12,trees_13,trees_14,trees_15,trees_2,trees_3,trees_4,trees_5,trees_6,trees_7,trees_8,trees_9
Amrita_800_1,138,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amrita_800_2,377,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karavatti_800_1,1160,0,0,0,0,0,0,0,0,1160,0,0,0,0,0,0,0
Karavatti_800_2,1199,0,0,0,0,0,0,0,0,1199,0,0,0,0,0,0,0
Kradangnga_800_1,1570,101,0,0,85,0,91,0,0,0,789,450,0,54,0,0,0
Kradangnga_800_2,1807,0,0,0,407,0,0,0,0,0,887,452,0,61,0,0,0
Kradangnga_800_3,2005,0,0,0,265,0,0,0,0,0,205,0,249,844,442,0,0
Kradangnga_800_4,1804,0,0,0,0,0,0,79,0,0,1640,0,0,0,85,0,0
Sambava_800_1,1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1294
Sambava_800_2,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,678
Triple P Kabacan_800_1,791,0,0,791,0,0,0,0,0,0,0,0,0,0,0,0,0
Triple P Kabacan_800_2,116,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0
Triple P Kabacan_800_3,1145,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0
Triple P Kabacan_800_4,154,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0
Wat Phleng_800_1,2825,0,0,0,728,1592,90,0,169,0,0,0,75,0,171,0,0
Wat Phleng_800_2,3055,80,0,0,1079,1191,523,90,92,0,0,0,0,0,0,0,0
Wat Phleng_800_3,3407,539,0,0,525,529,1217,368,155,0,0,0,0,0,74,0,0
Wat Phleng_800_4,2802,167,0,0,580,1631,352,0,0,0,0,0,72,0,0,0,0
