[2026-05-15 12:33:48,662] flops: 8.025578112, params: 6.709318, Total params: : 6.7093
[2026-05-15 12:46:25,140] Epoch: 1, Dataset: test, Dice: 0.9764, IoU: 0.9752
[2026-05-15 12:49:22,694] Epoch: 1, Dataset: val, Dice: 0.9767, IoU: 0.9755
[2026-05-15 12:49:22,695] ### Best Model Saved (Dice improved from 0.0000 to 0.9767) ###
[2026-05-15 12:58:42,680] Epoch: 2, Dataset: test, Dice: 0.9749, IoU: 0.9736
[2026-05-15 12:59:08,656] Epoch: 2, Dataset: val, Dice: 0.9745, IoU: 0.9733
[2026-05-15 13:08:30,922] Epoch: 3, Dataset: test, Dice: 0.9764, IoU: 0.9752
[2026-05-15 13:08:58,586] Epoch: 3, Dataset: val, Dice: 0.9767, IoU: 0.9755
[2026-05-15 13:18:20,291] Epoch: 4, Dataset: test, Dice: 0.9731, IoU: 0.9717
[2026-05-15 13:18:47,970] Epoch: 4, Dataset: val, Dice: 0.9730, IoU: 0.9716
[2026-05-15 13:28:10,304] Epoch: 5, Dataset: test, Dice: 0.9741, IoU: 0.9725
[2026-05-15 13:28:37,947] Epoch: 5, Dataset: val, Dice: 0.9742, IoU: 0.9726
[2026-05-15 13:37:59,892] Epoch: 6, Dataset: test, Dice: 0.9660, IoU: 0.9642
[2026-05-15 13:38:26,047] Epoch: 6, Dataset: val, Dice: 0.9642, IoU: 0.9624
[2026-05-15 13:47:48,647] Epoch: 7, Dataset: test, Dice: 0.9728, IoU: 0.9711
[2026-05-15 13:48:15,302] Epoch: 7, Dataset: val, Dice: 0.9724, IoU: 0.9707
[2026-05-15 13:57:38,445] Epoch: 8, Dataset: test, Dice: 0.9716, IoU: 0.9699
[2026-05-15 13:58:06,455] Epoch: 8, Dataset: val, Dice: 0.9719, IoU: 0.9702
[2026-05-15 14:07:28,320] Epoch: 9, Dataset: test, Dice: 0.9652, IoU: 0.9635
[2026-05-15 14:07:55,777] Epoch: 9, Dataset: val, Dice: 0.9645, IoU: 0.9627
[2026-05-15 14:17:17,422] Epoch: 10, Dataset: test, Dice: 0.9735, IoU: 0.9721
[2026-05-15 14:17:42,867] Epoch: 10, Dataset: val, Dice: 0.9731, IoU: 0.9718
[2026-05-15 14:27:04,527] Epoch: 11, Dataset: test, Dice: 0.9757, IoU: 0.9743
[2026-05-15 14:27:32,034] Epoch: 11, Dataset: val, Dice: 0.9757, IoU: 0.9743
[2026-05-15 14:36:54,451] Epoch: 12, Dataset: test, Dice: 0.9764, IoU: 0.9749
[2026-05-15 14:37:21,565] Epoch: 12, Dataset: val, Dice: 0.9767, IoU: 0.9754
[2026-05-15 14:37:21,566] ### Best Model Saved (Dice improved from 0.9767 to 0.9767) ###
[2026-05-15 14:46:43,406] Epoch: 13, Dataset: test, Dice: 0.9754, IoU: 0.9737
[2026-05-15 14:47:10,327] Epoch: 13, Dataset: val, Dice: 0.9750, IoU: 0.9735
[2026-05-15 14:56:31,205] Epoch: 14, Dataset: test, Dice: 0.9751, IoU: 0.9737
[2026-05-15 14:56:56,762] Epoch: 14, Dataset: val, Dice: 0.9759, IoU: 0.9745
[2026-05-15 15:06:18,089] Epoch: 15, Dataset: test, Dice: 0.9679, IoU: 0.9663
[2026-05-15 15:06:45,195] Epoch: 15, Dataset: val, Dice: 0.9677, IoU: 0.9660
[2026-05-15 15:16:02,941] Epoch: 16, Dataset: test, Dice: 0.9761, IoU: 0.9747
[2026-05-15 15:16:28,913] Epoch: 16, Dataset: val, Dice: 0.9764, IoU: 0.9750
[2026-05-15 15:25:46,500] Epoch: 17, Dataset: test, Dice: 0.9753, IoU: 0.9739
[2026-05-15 15:26:13,488] Epoch: 17, Dataset: val, Dice: 0.9760, IoU: 0.9746
[2026-05-15 15:35:32,001] Epoch: 18, Dataset: test, Dice: 0.9712, IoU: 0.9697
[2026-05-15 15:35:58,707] Epoch: 18, Dataset: val, Dice: 0.9713, IoU: 0.9699
[2026-05-15 15:45:18,573] Epoch: 19, Dataset: test, Dice: 0.9718, IoU: 0.9704
[2026-05-15 15:45:45,080] Epoch: 19, Dataset: val, Dice: 0.9730, IoU: 0.9716
[2026-05-15 15:55:05,833] Epoch: 20, Dataset: test, Dice: 0.9744, IoU: 0.9729
[2026-05-15 15:55:31,551] Epoch: 20, Dataset: val, Dice: 0.9744, IoU: 0.9731
