Region,Color,Annotations,Mean,Std,SD/Mean
Amrita_800,No Color,4,44.75,0.96,0.0214
Karavatti_800,"(255, 0, 0)",48,62.17,3.2,0.0514
Kradangnga_800,"(204, 255, 204)",95,48.15,5.67,0.1178
Kradangnga_800,"(255, 0, 255)",15,80.67,7.36,0.0913
Sambava_800,"(0, 0, 128)",24,19.71,7.94,0.403
Sambava_800,"(0, 255, 0)",17,20.82,2.43,0.1167
Sambava_800,"(128, 0, 128)",26,29.46,3.67,0.1245
Sambava_800,"(255, 128, 128)",13,18.69,2.93,0.1566
Sambava_800,"(153, 204, 153)",18,10.56,1.69,0.1599
Triple P Kabacan_800,"(230, 179, 77)",47,36.11,2.97,0.0823
Wat Phleng_800,No Color,112,79.91,11.33,0.1418
Wat Phleng_800,"(0, 255, 255)",18,71.06,4.28,0.0602
