Region,Patch Width (px),Patch Height (px)
Amrita_800,512.53,512.53
Amrita_800,512.53,512.54
Amrita_800,512.54,512.53
Karavatti_800,510.95,471.88
Karavatti_800,510.95,494.42
Karavatti_800,510.95,504.94
Karavatti_800,510.95,510.95
Karavatti_800,510.95,510.96
Karavatti_800,510.96,510.95
Karavatti_800,510.96,510.96
Kradangnga_800,512.53,499.66
Kradangnga_800,512.53,506.72
Kradangnga_800,512.53,507.27
Kradangnga_800,512.53,507.28
Kradangnga_800,512.53,512.53
Kradangnga_800,512.53,512.54
Kradangnga_800,512.54,507.27
Kradangnga_800,512.54,507.28
Kradangnga_800,512.54,509.36
Kradangnga_800,512.54,512.53
Kradangnga_800,512.54,512.54
Triple P Kabacan_800,504.78,511.09
Triple P Kabacan_800,508.36,508.36
Triple P Kabacan_800,508.36,508.37
Triple P Kabacan_800,508.37,508.36
Triple P Kabacan_800,508.37,508.37
Triple P Kabacan_800,511.12,511.11
Triple P Kabacan_800,511.12,511.12
Triple P Kabacan_800,511.13,511.11
Triple P Kabacan_800,511.13,511.12
Triple P Kabacan_800,511.16,511.09
Triple P Kabacan_800,511.16,511.1
Triple P Kabacan_800,511.17,511.09
Triple P Kabacan_800,511.61,511.63
Triple P Kabacan_800,511.61,511.64
Wat Phleng_800,508.95,510.95
Wat Phleng_800,510.95,480.9
Wat Phleng_800,510.95,510.95
Wat Phleng_800,510.95,510.96
Wat Phleng_800,510.96,510.95
Wat Phleng_800,510.96,510.96
